stafkey,susrpw,susrsec,susrtyp,ssalut,snamef,snamemi,snamel,slogid,stitle,sorg,sdept,saddrnum,saddrst1,saddrst2,saddrcty,saddrstt,saddrcnty,saddrzip,stelw,stelwex,stelfax,stelh,staduser,stadtime,stmduser,stmdtime,stc1,stc2,stc3,stc4,snotes,sorc1,sorc2,sorc3,sorc4,sactive,ssys,sspare1,sspare2,sspare3,sspare4,ssn,sfnod,sdob,sgender,shomeless,stermill,sfinhard,sadvage,smoh,svsi,spow,sals,spgwv,sincar
CK886370,,,VETERAN,DVM,Laurence,X,Ullrich,862922166S,Ms.,,Ut a facere ut velit eum nulla nesciunt.,,7926 Reagan Shoal,,Franeckifurt,WA,CAN,43489-9275,221.161.4585,,313-936-4340 x97527,,RO49,2009-07-31,KBERGNAUM,2017-09-05,,,,,Repudiandae ad quia rerum suscipit qui provident.,,,,,A,,,,,,,,,M,,,,,,,,,,
CK895807,,,VETERAN,I,Harry,X,Dickens,695458863S,Ms.,,Accusantium distinctio fugiat esse vero enim qui.,,943 Aurelie Centers,,New Fayshire,NE,GRL,55602,198.178.9774 x7198,8655,263.121.1539 x89574,,RO44,2009-09-02,KBOGAN1,2016-06-05,,,,,Voluptatum fugit consectetur et.,,,,,A,,,,,,208313373,,,F,,,,,,,,,,
CK905439,,,VETERAN,DVM,Zora,E,Kuhlman,727695371S,Mr.,,Libero voluptatibus ducimus explicabo in labore culpa et.,,5828 Zieme Hills,Suite 990,North Rafaelhaven,MT,DJI,12723-0931,1-588-304-0688 x166,5459,(944) 058-3588,(386) 952-3653 x9342,RO22,2009-10-07,CVON1,2017-10-10,,,,,,,,,,A,,,,,,,,1967-02-27,M,,,,,,,,,,
CK906187,,,VETERAN,III,Myrtie,X,Jones,125320366S,Dr.,,Doloremque est sit impedit laudantium soluta.,,78767 Reynolds Square,,East Doris,UT,ATA,34490-1201,1-986-210-2431 x688,,,267-811-8320,RO20,2009-10-09,RO19,2017-11-07,,,,,Quia corporis praesentium qui iusto voluptas ut harum.,,,,,A,,,,,,,,1962-03-27,M,,,,,,,,,,
CK913132,,,VETERAN,IV,Grover,E,Kerluke,241590835S,Mr.,,Non deleniti ut aut maiores possimus eligendi iusto fugiat.,,446 Gilbert Prairie,,Alfredomouth,HI,GUF,83453,1-783-726-7445,9966,,752.588.5261,RO04,2009-11-03,DSWIFT1,2017-10-31,,,,,Eos fuga omnis doloremque ut saepe cumque.,,,,,A,,,,,,,,,F,,,,,,,,,,
CK913880,,,VETERAN,II,Morgan,F,Weber,282096764S,Miss,Est quae nisi voluptas et aut natus consequuntur voluptas.,Nulla et velit quod saepe.,,67937 Upton Parkways,,Port Florencioville,CA,SJM,14198-0560,886-919-1859,,1-246-919-5710 x22143,973-088-1514,RO17,2009-11-05,ACONNELLY1,2017-08-10,,,,,Vitae est soluta id.,,,,,A,,,,,,,,1989-05-21,M,,,,,,,,,,
CK913924,,,VETERAN,III,Clay,Q,Gleichner,544279830S,Miss,Error voluptatibus ea ut.,Optio eaque odit ratione quaerat.,,38600 Larkin Mountains,,Gladycefurt,CT,STP,47153,656.082.6967,,,1-848-647-4616 x02811,RO28,2009-11-05,VRMUSER,2017-04-18,,,,,,,,,,A,,,,,,,,1963-01-19,M,,,,,,,,,,
CK919850,,,VETERAN,IV,Nasir,Z,Conn,311349312S,Mr.,Maiores ipsum necessitatibus adipisci et et ab enim omnis.,,,782 Cummerata Plains,Apt. 915,East Elwyn,ME,ROU,80410-8327,(616) 151-9980,,,,RO11,2009-11-30,RO11,2016-11-15,,,,,,,,,,A,,,,,,,,1974-03-14,F,,,,,,,,,,
CK927578,,,VETERAN,PhD,Ismael,U,Sporer,538467863S,Mrs.,,,,7451 Sawayn Rest,Suite 388,Karenshire,PA,EGY,66132-8053,(177) 162-0065,7798,,515-939-9699,RO18,2009-12-30,IDURGAN,2017-09-20,,,,,Deserunt tenetur et perspiciatis quod esse quas.,,,,,A,,,,,,238092336,,,M,,,,,,,,,,
CK934532,,,VETERAN,DVM,Zoey,M,Gutmann,142606933S,Mr.,,,,3802 Iliana Glens,Suite 177,Suzanneville,GA,BHR,92419-8615,731-759-8370,2912,803-646-5362 x009,789.645.8006 x6133,RO13,2010-01-27,TMURRAY,2017-10-10,,,,,Quam alias omnis voluptatem animi.,,,,,A,,,,,,522736800,,,M,,,,,,,,,,
CK937525,,,VETERAN,Sr.,Gayle,B,McLaughlin,989230654S,Dr.,Tenetur reiciendis repellat dolorem sequi veniam cum corrupti.,Aut rerum nemo voluptate sed facilis est vitae.,,32842 Fritsch River,Apt. 471,South Kailynbury,NH,ARG,37134,(731) 573-7752 x642,1782,,,RO13,2010-02-05,RFLATLEY,2017-10-18,,,,,Placeat laborum id voluptatibus.,,,,,A,,,,,,130159163,,1989-02-23,M,,,,,,,,,,
CK940945,,,VETERAN,I,Neil,Q,Block,797197103S,Mr.,In sapiente ut doloremque cum debitis repudiandae.,,,65760 Audrey Passage,Apt. 147,Aniyaland,FL,POL,91749,(333) 222-7454 x97027,,,,RO16,2010-02-18,RO16,2016-11-17,,,,,,,,,,A,,,,,,648361916,,1988-11-11,M,,,,,,,,,,
CK940968,,,VETERAN,IV,Jadyn,N,Daugherty,544170656S,Ms.,Sed omnis enim et quaerat repudiandae suscipit ea.,,,435 Fabiola Brook,,Joneston,VA,TUR,18276-4725,706-893-1294,,965-988-7929 x289,839-262-7034 x25264,RO49,2010-02-18,VRMUSER,2017-08-15,,,,,Quidem magni sunt ut veritatis eos consequatur vitae.,,,,,A,,,,,,,,1974-05-23,F,,,,,,,,,,
CK943653,,,VETERAN,MD,Berry,G,Kuhn,398013524S,Ms.,Accusamus sapiente aut atque qui qui voluptas qui dolores.,Ipsam voluptas qui suscipit et quibusdam.,,4963 Mariah Springs,Apt. 380,North Daisy,NJ,AUT,62052-0622,(969) 608-3892,,816.332.7122,784.415.7078 x4832,RO49,2010-02-26,RO49,2017-08-22,,,,,,,,,,A,,Lueilwitz,,,,237926366,,1984-07-06,F,,,,,,,,,,
CK947525,,,VETERAN,Jr.,Reyes,I,Crooks,393902465S,Mr.,,Vero numquam aspernatur consequuntur eum voluptas aut quo illo.,,883 Trantow Union,,South Ocie,KS,TLS,89167-5430,(543) 263-1388 x46932,,(920) 189-7440 x623,,RO44,2010-03-10,AHOPPE,2017-04-11,,,,,,,,,,A,,,,,,,,,M,,,,,,,,,,
CK956440,,,VETERAN,Jr.,Pat,Q,O'Connell,187104819S,Miss,,Ea dicta eaque dolorem libero est ut ad dignissimos.,,5840 Boehm Roads,Suite 485,Lake Adella,MN,WSM,26126-1226,(975) 697-3579 x05584,2782,,,RO01,2010-04-09,CVON1,2017-11-01,,,,,,,,,,A,,,,,,827702582,,1985-01-25,M,,,,,,,,,,
CK959390,,,VETERAN,IV,Salvador,R,Kautzer,372380792S,Mrs.,,Ipsam ut necessitatibus voluptates sit aut ab similique.,,13644 Manley Islands,,Samirshire,MD,JOR,98561,1-127-619-4271 x1350,,1-502-848-0268,1-653-899-5358 x645,RO46,2010-04-20,IDURGAN,2017-09-22,,,,,,,,,,A,,,,,,,,1960-03-29,F,,,,,,,,,,
CK967879,,,VETERAN,PhD,Columbus,I,Collins,850761752S,Mrs.,,Repellendus ipsa aut eum eos ea.,,9888 Lemke Stream,,Metzborough,MD,KIR,37323-6440,1-639-271-8042 x799,5752,(254) 640-5484,,RO55,2010-05-17,SBEAHAN,2017-02-22,,,,,,,,,,A,,,,,,,,1976-10-28,M,,,,,,,,,,
CK969773,,,VETERAN,MD,Clark,W,Roberts,391749217S,Miss,,,,11344 Molly Spring,,Rogerhaven,NM,ESH,31589-0144,701.916.5986 x552,9437,169.051.1596,132-563-1629,RO13,2010-05-24,FFRAMI,2017-10-31,,,,,,,,,,A,,,,,,635239117,,,F,,,,,,,,,,
CK978062,,,VETERAN,Sr.,Chadd,I,Bogan,724518857S,Mrs.,,Hic sed qui maxime nihil laboriosam magni.,,341 Murray Plaza,,Windlerland,WA,CAF,87982,913.260.8656 x0078,,231.484.8077 x92485,148-070-0341 x67756,RO17,2010-06-21,RO17,2017-12-06,,,,,,,,,,A,,,,,,114607324,,,M,,,,,,,,,,
CK985144,,,VETERAN,PhD,Glennie,J,Reynolds,202398213S,Miss,,,,942 Lemke Lights,Suite 638,Aliyahborough,MD,BEN,80738,183.382.1215,,(622) 792-1962,791-317-1101 x85626,RO21,2010-07-16,RO49,2017-07-26,,,,,Assumenda dolorum sit rerum eum officia voluptatem voluptatem.,,,,,A,,,,,,251058349,,,F,,,,,,,,,,
CK986682,,,VETERAN,II,Juana,Z,Ullrich,734997526S,Ms.,,,,1766 Hand Ramp,Apt. 694,Joeltown,AK,GAB,41169,1-885-533-1468 x266,6611,1-511-645-1258,,RO18,2010-07-22,RO27,2017-03-18,,,,,,,,,,A,,,,,,,,1975-08-13,M,,,,,,,,,,
CK988269,,,VETERAN,II,Martin,L,Cronin,673157500S,Dr.,Qui dignissimos commodi nam.,,,541 Nader Loop,Apt. 188,Kundehaven,MD,NCL,87778-7139,1-147-696-1886,,,,RO17,2010-07-28,CVON1,2017-05-01,,,,,,,,,,A,,,,,,356194935,,1989-12-07,M,,,,,,,,,,
CK988726,,,VETERAN,III,Agustin,B,Hessel,763140525S,Ms.,Nihil vel quisquam qui ut.,Placeat magnam qui maxime delectus.,,46181 Orn Ways,,Idellmouth,NH,TWN,49474-5137,(123) 896-9655 x94667,2673,(495) 612-9177,,RO22,2010-07-28,BMITCHELL1,2017-11-02,,,,,,,,,,A,,,,,,951702652,,,F,,,,,,,,,,
CK992319,,,VETERAN,IV,Olaf,Z,Harris,385010268S,Dr.,,,,57239 Ricardo Prairie,Apt. 206,Romaguerastad,FL,FRO,60648,338.550.5211 x690,3729,682-771-9308,,RO13,2010-08-10,CVON1,2017-08-17,,,,,Fugiat id et deserunt ipsum placeat veniam qui et.,,,,,A,,,,,,576886669,,1977-07-09,M,,,,,,,,,,
CK992975,,,VETERAN,Jr.,Julia,Y,Senger,639669570S,Dr.,Minima iste aut nihil aperiam.,,,564 Franecki Fields,Suite 672,West Merrittmouth,NC,TKM,16566-3086,217-572-4473 x06738,,,252.807.5630 x151,RO14,2010-08-12,CCUMMERAT,2017-06-08,,,,,Occaecati est odio enim laboriosam dolore.,,,,,A,,,,,,902982034,,,M,,,,,,,,,,
CK996625,,,VETERAN,Sr.,Muriel,C,Lynch,242350995S,Miss,,Ut magni repudiandae amet delectus eligendi veritatis rerum.,,644 Melisa Forge,Apt. 668,New Troy,SD,HTI,81138-9293,137-468-4260,,,(646) 859-8340,RO17,2010-08-25,CVON1,2017-05-01,,,,,Eaque vel aperiam impedit.,,,,,A,,,,,,,,,F,,,,,,,,,,
