stafkey,susrpw,susrsec,susrtyp,ssalut,snamef,snamemi,snamel,slogid,stitle,sorg,sdept,saddrnum,saddrst1,saddrst2,saddrcty,saddrstt,saddrcnty,saddrzip,stelw,stelwex,stelfax,stelh,staduser,stadtime,stmduser,stmdtime,stc1,stc2,stc3,stc4,snotes,sorc1,sorc2,sorc3,sorc4,sactive,ssys,sspare1,sspare2,sspare3,smemgrp,sfoiasec,srptsec,sattyid,svlj,sinvsec,sdomainid
TJOHNS,,,,,Timmothy,G,Johns,TJOHNS,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
CSHANAHAN,,,,,Celestino,S,Shanahan,CSHANAHAN,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
FTHIEL,,,,,Francesco,L,Thiel,FTHIEL,AML,,AML,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
HBLICK,,,,,Hattie,J,Blick,HBLICK,AML,,AML,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
DSTOKES1,,,,,Domingo,L,Stokes,DSTOKES1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,370,,,927,,,BVADSTOKES1
FWINTHEIS,,,,,Freda,H,Wintheiser,FWINTHEIS,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,556,,,926,A,,BVAFWINTHEIS
LSTROMAN,,,,,Leta,W,Stroman,LSTROMAN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,616,,,920,,,BVALSTROMAN
DGERHOLD,,,,,Dean,N,Gerhold,DGERHOLD,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,167,,,925,,,
DWAELCHI,,,,,Dario,S,Waelchi,DWAELCHI,SUP,,CDLEGCLK,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
JKUNDE,,,,,Jaime,N,Kunde,JKUNDE,CRUSSEL,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,919,,,
KRIPPIN,,,,,Kali,K,Rippin,KRIPPIN,SUP,,AOD,,,,,,,,,,1-484-464-2026 x0521,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAKRIPPIN
SBEAHAN2,,,,,Shannon,X,Beahan,SBEAHAN2,OPR,,MPS,,,,,,,,,,181.584.9402 x4161,,,,,,,,,,,,,,,I,,,,,,,,,,,
MHYATT1,,,,,Monroe,O,Hyatt,MHYATT1,SUP,,DSP,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAMHYATT1
WWAELCHI,,,,,Waino,F,Waelchi,WWAELCHI,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,916,,,
GBATZ,,,,,Garfield,S,Batz,GBATZ,SBODE,,BDCOUNSEL,,,,,,,,,,,325.518.5535 x54542,,,,,,,,,,,,,,A,,,,,556,,,1244,A,,BVAGBATZ
MFISHER,,,,,Maya,J,Fisher,MFISHER,AHUDSON,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,672,,,
VMOORE,,,,,Velda,R,Moore,VMOORE,CRUSSEL,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,689,,,
MWIZA,,,,,Maybelle,V,Wiza,MWIZA,CRUSSEL,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,766,,,
BARMSTRON,,,,,Bianka,S,Armstrong,BARMSTRON,SBODE,,BDCOUNSEL,,,,,,,,,,,(603) 793-8294 x8883,,,,,,,,,,,,,,I,,,,,679,,,1246,,,
MJACOBS2,,,,,Markus,A,Jacobs,MJACOBS2,SBODE,,BDCOUNSEL,,,,,,,,,,,1-223-373-8683 x960,,,,,,,,,,,,,,I,,,,,511,,,1247,,,
FHEANEY,,,,,Fanny,P,Heaney,FHEANEY,SBODE,,BDCOUNSEL,,,,,,,,,,,650.176.3513 x20286,,,,,,,,,,,,,,A,,,,,679,,,1248,,,BVAFHEANEY
MERDMAN1,,,,,Marquis,S,Erdman,MERDMAN1,SBODE,,BDCOUNSEL,,,,,,,,,,,1-967-624-2924 x0130,,,,,,,,,,,,,,A,,,,,679,,,1250,,,BVAMERDMAN1
AHOWELL,,,,,Adell,H,Howell,AHOWELL,SBODE,,BDCOUNSEL,,,,,,,,,,,481.064.1436 x614,,,,,,,,,,,,,,A,,,,,616,,,1251,,,BVAAHOWELL
WLARSON,,,,,Wanda,C,Larson,WLARSON,SBODE,,BDCOUNSEL,,,,,,,,,,,174-383-4390,,,,,,,,,,,,,,A,,,,,616,,,1253,,,BVAWLARSON
PNIENOW,,,,,Paul,U,Nienow,PNIENOW,SBODE,,BDCOUNSEL,,,,,,,,,,,(175) 597-4193 x48369,,,,,,,,,,,,,,I,,,,,805,,,1254,,,
MLEHNER,,,,,Micah,N,Lehner,MLEHNER,SBODE,,BDCOUNSEL,,,,,,,,,,,(247) 968-5002,,,,,,,,,,,,,,I,,,,,370,,,1257,,,
HCORWIN1,,,,,Hermina,S,Corwin,HCORWIN1,SBODE,,BDCOUNSEL,,,,,,,,,,,416-994-5636 x589,,,,,,,,,,,,,,A,,,,,511,,,1258,,,BVAHCORWIN1
TBERGNAUM,,,,,Trystan,C,Bergnaum,TBERGNAUM,SBODE,,BDCOUNSEL,,,,,,,,,,,1-883-477-4029,,,,,,,,,,,,,,I,,,,,511,,,1261,,,
JWIZA2,,,,,Jude,A,Wiza,JWIZA2,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,983,,,
MDICKINSO,,,,,Manuela,H,Dickinson,MDICKINSO,VFW,,VFW,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
MHUELS1,,,,,Markus,P,Huels,MHUELS1,VFW,,VFW,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
FANDERSON,,,,,Francis,I,Anderson,FANDERSON,VFW,,VFW,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
CARMSTRON,,,,,Cleora,P,Armstrong,CARMSTRON,VFW,,VFW,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
SQUITZON,,,,,Sandra,Z,Quitzon,SQUITZON,OPR,,MPS,,,,,,,,,,(355) 691-9166,,,,,,,,,,,,,,,I,,,,,,,,,,,
BHEIDENRE,,,,346,Bernardo,B,Heidenreich,BHEIDENRE,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
MFERRY,,,,,Mozell,W,Ferry,MFERRY,OPR,,REV,,,,,,,,,,(317) 521-7568 x805,,,,,,,,,,,,,,,I,,,,,,,,,,,
MCUMMERAT,,,,,Margaret,M,Cummerata,MCUMMERAT,OPR,,INTERN,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
GREICHERT,,,,,Gina,P,Reichert,GREICHERT,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,374,,,985,,,BVAGREICHERT
MROOB,,,,,Micheal,H,Roob,MROOB,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,679,,,986,A,,BVAMROOB
SWALTER,,,,,Stan,Y,Walter,SWALTER,AHUDSON,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,984,,,
ABREITENB,,,,,Aurelio,V,Breitenberg,ABREITENB,AML,,AML,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
JYOST,,,,,Julien,W,Yost,JYOST,AHUDSON,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,987,,,
ACUMMINGS,,,,,Arne,V,Cummings,ACUMMINGS,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,448,,,988,A,,BVAACUMMINGS
BSATTERFI,,,,,Benedict,Z,Satterfield,BSATTERFI,SUP,,DSP,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,902,,,
BORN,,,,,Betty,D,Orn,BORN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,989,,,
MKIRLIN3,,,,,Merlin,A,Kirlin,MKIRLIN3,SBODE,,BDCOUNSEL,,,,,,,,,,,758.871.2577,,,,,,,,,,,,,,I,,,,,679,,,1293,,,BVAMKIRLIN3
JKLING,,,,,Jacynthe,C,Kling,JKLING,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAJKLING
AMACGYVER,,,,,Alejandrin,P,MacGyver,AMACGYVER,AML,,AML,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
DLEMKE,,,,,Dayton,Y,Lemke,DLEMKE,SUP,,CDLEGCLK,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
JZEMLAK,,,,,Jamar,C,Zemlak,JZEMLAK,OPR,,CDLEGCLK,,,,,,,,,,(791) 233-3601 x697,,,,,,,,,,,,,,,I,,,,,,,,,,,
ABREITENB1,,,,,Alexandria,E,Breitenberg,ABREITENB1,SUP,,CMB,,,,,,,,,,513-898-8156,,,,,,,,,,,,,,,I,,,,,,,,,,,
SREICHERT,,,,,Shanelle,E,Reichert,SREICHERT,OPR,,CDLEGCLK,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
MFARRELL,,,,,Maryjane,G,Farrell,MFARRELL,SSENGER,,DSP,,,,,,,,,,1-266-408-9874,,,,,,,,,,,,,,,A,,,,,,,,803,,,BVAMFARRELL
JTORPHY,,,,,Junius,Y,Torphy,JTORPHY,OPR,,CDLEGCLK,,,,,,,,,,(601) 163-8456,,,,,,,,,,,,,,,I,,,,,,,,,,,
AMARKS2,,,,,Amani,V,Marks,AMARKS2,OPR,,CDLEGCLK,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
RKONOPELS,,,,,Rosendo,T,Konopelski,RKONOPELS,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,679,,,995,A,,BVARKONOPELS
MRITCHIE1,,,,,Myles,P,Ritchie,MRITCHIE1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,386,,,991,A,,BVAMRITCHIE1
MSTROMAN,,,,,Modesto,P,Stroman,MSTROMAN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,511,,,990,,,BVAMSTROMAN
CTURCOTTE1,,,,,Calista,S,Turcotte,CTURCOTTE1,MHALEY,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,994,,,
CMCLAUGHL1,,,,,Curt,I,McLaughlin,CMCLAUGHL1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,365,,,992,,,BVACMCLAUGHL1
BPROSACCO,,,,,Brian,B,Prosacco,BPROSACCO,AHUDSON,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1007,,,
GLARSON,,,,,Griffin,G,Larson,GLARSON,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAGLARSON
SSTANTON,,,,,Seamus,M,Stanton,SSTANTON,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVASSTANTON
TKUPHAL1,,,,,Tracy,L,Kuphal,TKUPHAL1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,679,,,1014,,,BVATKUPHAL1
96,,,,,,,96 Remand Returned to BVA,96,,96,,,,,,,,,,,,,SBARTELL,2002-10-29 00:00:00 UTC,SBARTELL,2009-03-31 00:00:00 UTC,,,,,,,,,,I,,,,,,,,,,,
AROHAN,,,,,Ashleigh,C,Rohan,AROHAN,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
AHESSEL,,,,,Ardella,R,Hessel,AHESSEL,VBA,,VBAVACO,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
IBOYLE,,,,,Izabella,T,Boyle,IBOYLE,VBA,,VBAVACO,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
HGUTKOWSK1,,,,,Henriette,D,Gutkowski,HGUTKOWSK1,MHALEY,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,753,,,
GLEDNER,,,,,Gustave,X,Ledner,GLEDNER,DV-DIR,68-112,AMC,,,,,,,,,,,,SBARTELL,1995-10-02 09:51:57 UTC,WLANGOSH,1996-01-25 13:38:35 UTC,0,0,25,255,,,,,,A,,,,,,,,,,,
MLIND2,,,,,Meagan,S,Lind,MLIND2,SBODE,01-496,REV,,,,,,,,,,,,SBARTELL,1995-10-05 16:47:51 UTC,SBARTELL,1995-10-06 09:34:05 UTC,0,0,0,0,,,,,,I,,,,,386,,,496,,,
JMUELLER1,,,,,Jacinthe,P,Mueller,JMUELLER1,SBODE,04-504,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-10-24 08:46:43 UTC,WLANGOSH,1995-10-25 07:27:01 UTC,0,0,0,0,,,,,,A,,,,,370,,,504,A,,BVAJMUELLER1
TFARRELL,,,,,Tess,L,Farrell,TFARRELL,MHALEY,06-502,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-10-24 08:49:05 UTC,WLANGOSH,1995-10-25 08:04:45 UTC,0,0,0,0,,,,,,I,,,,,,,,502,,,
DRUECKER,,,,,Desmond,D,Ruecker,DRUECKER,SBODE,13-500,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-10-24 10:33:10 UTC,WLANGOSH,1995-10-25 08:34:16 UTC,0,0,0,0,,,,,,I,,,,,,,,500,,,
JLEDNER1,,,,,Jammie,Y,Ledner,JLEDNER1,SBODE,13-494,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-10-24 10:36:34 UTC,WLANGOSH,1996-12-19 11:25:15 UTC,0,0,0,0,,,,,,I,,,,,,,,494,,,
DWINDLER,,,,,Duane,Y,Windler,DWINDLER,CRUSSEL,01-503,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-10-24 10:38:25 UTC,SBARTELL,1995-11-03 10:38:30 UTC,0,0,0,0,,,,,,I,,,,,,,,503,,,
ELITTEL,,,,,Eugenia,O,Littel,ELITTEL,CRUSSEL,06-501,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-10-24 10:40:02 UTC,WLANGOSH,1995-10-25 08:04:11 UTC,0,0,0,0,,,,,,I,,,,,,,,501,A,,
ELUBOWITZ1,,,,,Erich,R,Lubowitz,ELUBOWITZ1,AHUDSON,04-508,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-11-02 14:48:32 UTC,WLANGOSH,1995-11-02 14:51:44 UTC,0,0,0,0,,,,,,I,,,,,,,,508,,,
CHILLS,,,,,Chaz,X,Hills,CHILLS,SBODE,06-505,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-11-07 15:17:31 UTC,CHILLS,1998-01-07 16:40:45 UTC,0,0,0,0,,,,,,I,,,,,511,,,505,A,,
90,,,,,,,90 Development Team,90,,90,,,,,,,,,,,,,SBARTELL,2001-09-18 00:00:00 UTC,SBARTELL,2003-07-01 00:00:00 UTC,,,,,,,,,,I,,,,,,,,,,,
BPARKER2,,,,,Buford,W,Parker,BPARKER2,CRUSSEL,17-507,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-11-07 15:19:17 UTC,WLANGOSH,1995-11-07 15:21:27 UTC,0,0,0,0,,,,,,I,,,,,,,,507,,,
HHOEGER,,,,,Halle,X,Hoeger,HHOEGER,SBODE,17-506,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-11-07 15:23:25 UTC,WLANGOSH,1995-11-07 15:23:53 UTC,0,0,0,0,,,,,,I,,,,,,,,506,,,
ETOWNE1,,,,,Estell,P,Towne,ETOWNE1,SBODE,17-509,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-11-21 14:23:16 UTC,WLANGOSH,1997-12-02 15:38:32 UTC,0,0,0,0,,,,,,A,,,,,370,,,509,,,BVAETOWNE1
MREMPEL,,,,,Melany,I,Rempel,MREMPEL,AHUDSON,04-512,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-11-21 14:24:54 UTC,WLANGOSH,1997-09-18 10:20:28 UTC,0,0,0,0,,,,,,I,,,,,,,,512,,,
DTERRY,,,,,Daphney,V,Terry,DTERRY,SBODE,04-511,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-11-21 14:26:22 UTC,WLANGOSH,1995-11-21 14:26:50 UTC,0,0,0,0,,,,,,A,,,,,511,,,511,J,,BVADTERRY
LWISOZK1,,,,,Lavinia,Z,Wisozk,LWISOZK1,SBODE,04-510,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-11-21 14:27:56 UTC,WLANGOSH,1995-11-21 14:28:22 UTC,0,0,0,0,,,,,,A,,,,,616,,,510,,,BVALWISOZK1
AREICHEL,,,,,Alena,W,Reichel,AREICHEL,CRUSSEL,16-514,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-12-08 08:30:01 UTC,SBARTELL,1996-06-11 15:49:13 UTC,0,0,0,0,,,,,,I,,,,,,,,514,,,
AJACOBSON,,,,,Ansel,I,Jacobson,AJACOBSON,CRUSSEL,16-513,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-12-08 14:27:53 UTC,WLANGOSH,1996-12-04 10:06:18 UTC,0,0,0,0,,,,,,I,,,,,,,,513,,,
AO'HARA1,,,,,Alize,R,O'Hara,AO'HARA1,SBODE,16-515,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-12-08 14:33:06 UTC,WLANGOSH,1995-12-08 14:33:30 UTC,0,0,0,0,,,,,,I,,,,,374,,,515,J,,BVAAO'HARA1
ESTEHR,,,,,Elwin,U,Stehr,ESTEHR,SBODE,13-520,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-12-15 09:55:53 UTC,WLANGOSH,1995-12-15 10:18:04 UTC,0,0,0,0,,,,,,I,,,,,,,,520,,,
JLEANNON,,,,,Jayme,D,Leannon,JLEANNON,MHALEY,06-517,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-12-15 09:57:39 UTC,WLANGOSH,1996-06-07 14:39:58 UTC,0,0,0,0,,,,,,I,,,,,,,,517,,,
SBRUEN,,,,,Sonia,J,Bruen,SBRUEN,MHALEY,06-516,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-12-15 09:59:16 UTC,WLANGOSH,1995-12-15 10:18:51 UTC,0,0,0,0,,,,,,I,,,,,,,,516,,,
MABSHIRE,,,,,Margret,L,Abshire,MABSHIRE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,805,,,738,J,,BVAMABSHIRE
CKUB,,,,,Christophe,I,Kub,CKUB,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
BLEDNER,,,,,Brendan,O,Ledner,BLEDNER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,511,,,742,J,,
SRAU,,,,,Sabryna,A,Rau,SRAU,CRUSSEL,16-519,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1995-12-15 10:17:33 UTC,WLANGOSH,1995-12-15 10:19:13 UTC,0,0,0,0,,,,,,I,,,,,,,,519,,,
ASTEHR1,,,,,Alta,M,Stehr,ASTEHR1,AHUDSON,04-526,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-01-19 08:41:49 UTC,WLANGOSH,1997-07-31 11:51:33 UTC,0,0,0,0,,,,,,I,,,,,,,,526,,,
SSTARK,,,,,Selina,R,Stark,SSTARK,AHUDSON,06-523,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-01-19 08:47:46 UTC,SBARTELL,1998-01-07 14:19:04 UTC,0,0,0,0,,,,,,I,,,,,,,,523,,,
UCROOKS,,,,,Ursula,K,Crooks,UCROOKS,MPAUCEK,06-525,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-01-19 09:15:23 UTC,SBARTELL,1998-01-08 09:56:06 UTC,0,0,0,0,,,,,,I,,,,,,,,525,A,,
HBOSCO,,,,,Heber,G,Bosco,HBOSCO,SBODE,06-524,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-01-19 09:17:22 UTC,SBARTELL,1998-01-08 09:55:42 UTC,0,0,0,0,,,,,,A,,,,,374,,,524,A,,BVAHBOSCO
MBLICK1,,,,,Mattie,O,Blick,MBLICK1,AHUDSON,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,655,,,
KKLING,,,,,Kayleigh,X,Kling,KKLING,MHALEY,06-527,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-01-23 14:01:34 UTC,WLANGOSH,1996-06-07 14:39:27 UTC,0,0,0,0,,,,,,I,,,,,,,,527,,,
ZLANG1,,,,,Zack,G,Lang,ZLANG1,SBODE,13-521,BDCOUNSEL,,,,,,,,,,,,BFEENEY,1996-01-31 09:59:40 UTC,WLANGOSH,1996-02-01 09:04:44 UTC,0,0,0,0,,,,,,I,,,,,,,,521,,,
MPAUCEK,,,,,Michael,K,Paucek,MPAUCEK,MPAUCEK,MPAUCEK,MPAUCEK,,,,,,,,,,,,ABERGSTRO,1996-02-05 09:57:44 UTC,ABERGSTRO,1996-02-05 09:58:01 UTC,0,0,-19,20,,,,,,I,,,,,,,,,,,
ISWIFT,,,,,Ivah,B,Swift,ISWIFT,AML,,AML,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
LKUHLMAN1,,,,,Leo,M,Kuhlman,LKUHLMAN1,SBODE,,BDCOUNSEL,,,,,,,,,,,273-300-6312,,,,,,,,,,,,,,I,,,,,374,,,1256,,,
CCONSIDIN,,,,,Cordie,B,Considine,CCONSIDIN,SBODE,,BDCOUNSEL,,,,,,,,,,811.357.2539 x84967,(412) 687-2331 x578,,,,,,,,,,,,,,A,,,,,556,,,1255,,,BVACCONSIDIN
KFEEST2,,,,,Keshaun,I,Feest,KFEEST2,SBODE,,BDCOUNSEL,,,,,,,,,,,273.256.7384 x842,,,,,,,,,,,,,,A,,,,,448,,,1361,,,BVAKFEEST2
HGUSIKOWS1,,,,,Henry,Q,Gusikowski,HGUSIKOWS1,SBODE,,BDCOUNSEL,,,,,,,,,,,972-657-4664 x30046,,,,,,,,,,,,,,A,,,,,556,,,1362,,,BVAHGUSIKOWS1
DHUDSON,,,,,Delmer,P,Hudson,DHUDSON,SBODE,,BDCOUNSEL,,,,,,,,,,,502.845.0492,,,,,,,,,,,,,,A,,,,,511,,,1368,,,BVADHUDSON
DTRANTOW,,,,,Davion,P,Trantow,DTRANTOW,SUP,,CMB,,,,,,,,,,900-879-1248 x534,,,,,,,,,,,,,,,I,,,,,,,,,,,
BFAY,,,,,Brant,H,Fay,BFAY,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
MLIND1,,,,,Jalon,M,Thompson,MLIND1,SBODE,,BDCOUNSEL,,,,,,,,,,,1-918-454-4740,,,,,,,,,,,,,,I,,,,,805,,,1369,,,
DZIEMANN1,,,,,Dayton,O,Ziemann,DZIEMANN1,SBODE,,BDCOUNSEL,,,,,,,,,,,(608) 528-3307 x41078,,,,,,,,,,,,,,A,,,,,556,,,1370,,,BVADZIEMANN1
AROBEL,,,,,Axel,Z,Robel,AROBEL,SBODE,,BDCOUNSEL,,,,,,,,,,,1-297-860-0880,,,,,,,,,,,,,,I,,,,,679,,,1320,,,
MO'CONNEL,,,,,Marlon,B,O'Connell,MO'CONNEL,SBODE,,BDCOUNSEL,,,,,,,,,,,840-219-2931,,,,,,,,,,,,,,A,,,,,511,,,1355,,,BVAMO'CONNEL
DHARBER2,,,,,Donavon,B,Harber,DHARBER2,SSENGER,,DSP,,,,,,,,,,(266) 428-0910 x870,,,,,,,,,,,,,,,I,,,,,,,,,,,
RERDMAN,,,,,Rickie,G,Erdman,RERDMAN,01-CHR,,STATSPT,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,A,,BVARERDMAN
ECUMMINGS,,,,,Emerson,C,Cummings,ECUMMINGS,AIRS,,AIRS,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAECUMMINGS
ZHAMMES,,,,,Zaria,I,Hammes,ZHAMMES,SUP,,DSP,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
SMAYERT1,,,,,Sandra,L,Mayert,SMAYERT1,OPR,,MPS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
ABORER1,,,,,Amari,Q,Borer,ABORER1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
KMETZ2,,,,,Kaden,Z,Metz,KMETZ2,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAKMETZ2
FPOLLICH,,,,,Faustino,P,Pollich,FPOLLICH,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,679,,,2007,,,BVAFPOLLICH
LHODKIEWI,,,,,Luna,D,Hodkiewicz,LHODKIEWI,01C2,,COR,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,1976,,,BVALHODKIEWI
AKUPHAL1,,,,,Abe,U,Kuphal,AKUPHAL1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,386,,,1914,,,BVAAKUPHAL1
MLEHNER1,,,,,Mariah,F,Lehner,MLEHNER1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,386,,,1915,,,BVAMLEHNER1
CGUTMANN,,,,,Christelle,D,Gutmann,CGUTMANN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,365,,,1845,,,BVACGUTMANN
KMURPHY,,,,,Kole,X,Murphy,KMURPHY,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,386,,,1853,,,BVAKMURPHY
MWILLIAMS1,,,,,Magdalen,R,Williamson,MWILLIAMS1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,805,,,1916,,,BVAMWILLIAMS1
CSIMONIS1,,,,,Chester,B,Simonis,CSIMONIS1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,370,,,1917,,,BVACSIMONIS1
HHELLER,,,,,Hassie,J,Heller,HHELLER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1918,,,
CROOB,,,,,Candice,Y,Roob,CROOB,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,448,,,1919,,,BVACROOB
CKOELPIN2,,,,,Courtney,U,Koelpin,CKOELPIN2,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,374,,,1920,,,BVACKOELPIN2
KHINTZ,,,,,Kenny,W,Hintz,KHINTZ,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,679,,,1924,,,BVAKHINTZ
